number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
143,0.8363526594134819,2026-05-31 16:01:06.329220,2026-05-31 16:01:53.686139,0 days 00:00:47.356919,balanced,0.8928142986723179,0.03364546141767919,-1,40,0.020110162151827062,1300,168,5.4550307615976465e-08,0.00020035267597877124,0.9723511761266801,0.8770987607424688,0.8363526594134819,0.8272527310631089,0.8456769152369628,0.9495149056663451,COMPLETE
144,0.8366405786221947,2026-05-31 16:01:53.704219,2026-05-31 16:02:41.293795,0 days 00:00:47.589576,balanced,0.8879372554351371,0.030433944965924362,-1,40,0.019306552273735084,1300,168,5.216803224085658e-08,0.0004530002537149797,0.9705502964693744,0.8770356758936257,0.8366405786221947,0.8256757854155894,0.847913481682804,0.9495835063930512,COMPLETE
145,0.8347901412508419,2026-05-31 16:02:41.316457,2026-05-31 16:03:30.593802,0 days 00:00:49.277345,balanced,0.8861877825246012,0.027327788100737497,-1,50,0.024093321261156826,1300,168,1.6797011913174499e-07,0.0005787769108576542,0.9705671921650134,0.8753535414750019,0.8347901412508419,0.822000600478351,0.8479984145858106,0.9493496104793112,COMPLETE
146,0.8344694558701701,2026-05-31 16:03:30.613180,2026-05-31 16:04:17.932290,0 days 00:00:47.319110,balanced,0.8935279621653407,0.03033768729528397,-1,40,0.031422974219071746,1300,168,5.569925134378125e-08,0.0003829520185915352,0.9819630551465545,0.8754691869727966,0.8344694558701701,0.8239683242196122,0.8452522507219297,0.948987645552983,COMPLETE
147,0.835455732802871,2026-05-31 16:04:17.954846,2026-05-31 16:04:58.618698,0 days 00:00:40.663852,balanced,0.9006711298750162,0.03285477727586333,-1,40,0.01950859667747023,1200,152,8.053719938844862e-08,0.00043047652965445203,0.9723157482385731,0.8759107451023102,0.835455732802871,0.8229949692304372,0.8483098352301681,0.9494379551043899,COMPLETE
148,0.8356305406691815,2026-05-31 16:04:58.638124,2026-05-31 16:05:39.081543,0 days 00:00:40.443419,balanced,0.8766541561734325,0.031403090765293275,-1,50,0.014388275680411547,1200,144,2.336786711086068e-07,0.0002185789913781386,0.9647184224009704,0.8756689358755606,0.8356305406691815,0.8207960309388885,0.8510276881263802,0.9495129739768761,COMPLETE
149,0.8308610540710551,2026-05-31 16:05:39.101624,2026-05-31 16:06:19.625354,0 days 00:00:40.523730,,0.8993598790702547,0.03042106333338832,-1,50,0.016143711768656283,1200,144,2.414760546678521e-07,0.0013088712940793961,0.9988446596321594,0.8780870135528237,0.8308610540710551,0.8569537874454216,0.8063246701772266,0.9490699073494486,COMPLETE
150,0.8341075650795035,2026-05-31 16:06:19.646187,2026-05-31 16:07:07.197299,0 days 00:00:47.551112,balanced,0.8664445139463761,0.032016474913508494,-1,40,0.06997338868125688,1400,152,1.5229094104513237e-07,0.0008838976832052112,0.9658415761973609,0.874911970413237,0.8341075650795035,0.8217888843880723,0.8468093539437178,0.9484455682983878,COMPLETE
151,0.8349723537489622,2026-05-31 16:07:07.217631,2026-05-31 16:07:53.542634,0 days 00:00:46.325003,balanced,0.8743498022481422,0.03300171655904421,-1,50,0.016404300791752882,1200,176,8.289084623414371e-08,0.00024675666510718227,0.9844116998895448,0.8756373898035811,0.8349723537489622,0.8231006624527879,0.847205707491082,0.9492948922340223,COMPLETE
152,0.834656665707885,2026-05-31 16:07:53.567096,2026-05-31 16:08:47.310173,0 days 00:00:53.743077,balanced,0.88313274226839,0.028391573249820272,-1,40,0.04462672821718025,1300,192,1.0448646070434088e-07,0.00012055301053005024,0.949429517366058,0.8757320144240762,0.834656665707885,0.8249591486935827,0.8446010984655455,0.9489444592370312,COMPLETE
