number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
438,0.8363024185323199,2026-06-01 23:28:44.390561,2026-06-01 23:29:16.774907,0 days 00:00:32.384346,0.856423681285444,0.9224217123564891,0.018686663143654535,16,10,0.00018201068173278614,1280,215,0.0009103707487337503,4.181261302774539e-08,0.8779391292550162,0.8363024185323199,0.833745583684962,0.8389190616413855,0.9506709673214578,COMPLETE
439,0.8365831641954514,2026-06-01 23:29:16.783892,2026-06-01 23:29:47.525221,0 days 00:00:30.741329,0.8886620127435608,0.8999333889386206,0.01820117576966189,16,10,0.006976530730870676,1260,207,0.0018649914185573525,1.5715519478533042e-08,0.8778338336217218,0.8365831641954514,0.8319038664167898,0.8413553760382356,0.9503845739690835,COMPLETE
440,0.8363198339094892,2026-06-01 23:29:47.534675,2026-06-01 23:30:20.068656,0 days 00:00:32.533981,0.8810288185805003,0.9086493468680582,0.019545070988168795,16,10,0.01114876334735572,1340,207,0.0006409163368665888,2.0582701768612103e-08,0.8780233638324352,0.8363198339094892,0.8342487556852533,0.8384374792510112,0.9506349463241831,COMPLETE
441,0.8376054096812244,2026-06-01 23:30:20.078335,2026-06-01 23:30:52.197524,0 days 00:00:32.119189,0.8745432492309815,0.9153519978789944,0.018904597096235383,16,10,0.0037994247915901828,1280,215,0.0013493634649217065,1.5798944667137443e-08,0.8787920408152367,0.8376054096812244,0.8342350655797018,0.8410437821727147,0.9507752029516355,COMPLETE
442,0.8364237312917792,2026-06-01 23:30:52.207325,2026-06-01 23:31:26.091080,0 days 00:00:33.883755,0.870509404356094,0.9179636006680678,0.020298001785366837,16,10,0.00407355037985167,1320,223,0.00133682171579502,1.5458828518699125e-08,0.8784234853097369,0.8364237312917792,0.8365701191257812,0.8363127346436922,0.9507319853382009,COMPLETE
443,0.836583447420876,2026-06-01 23:31:26.100712,2026-06-01 23:31:58.754887,0 days 00:00:32.654175,0.8739525051049257,0.9210340518131198,0.019015506238638846,16,10,0.0035140820105081716,1300,215,0.0021359027787687867,1.0013802809798791e-08,0.87817078157748,0.836583447420876,0.8341830548888929,0.839032399362616,0.950649569369026,COMPLETE
444,0.8369013747627673,2026-06-01 23:31:58.773887,2026-06-01 23:32:31.170597,0 days 00:00:32.396710,0.865708205218299,0.9008866205742299,0.017529976230064647,16,10,0.007671345058799482,1280,215,0.003102015599057732,3.368667636363677e-08,0.8782444886205729,0.8369013747627673,0.8333696699306445,0.8405055152723321,0.9505734642764511,COMPLETE
445,0.8370328256752052,2026-06-01 23:32:31.189220,2026-06-01 23:33:03.124449,0 days 00:00:31.935229,0.8847716282894255,0.9145116291116284,0.01950430809483966,16,10,0.0001199039634039098,1260,223,0.0012377008734132727,2.2847637719178992e-08,0.8784761459323894,0.8370328256752052,0.8344157075754585,0.8397123101252495,0.9508984096031933,COMPLETE
446,0.8371507671971979,2026-06-01 23:33:03.134129,2026-06-01 23:33:36.117476,0 days 00:00:32.983347,0.8778147234960497,0.9070624270180935,0.018840353207755976,16,10,0.004902812449218563,1320,215,0.001804856284109951,1.4885306944876984e-08,0.8786867451819423,0.8371507671971979,0.8353697314604792,0.8389757750425817,0.9507795794982262,COMPLETE
447,0.8373037256547425,2026-06-01 23:33:36.127024,2026-06-01 23:34:09.411442,0 days 00:00:33.284418,0.877840038681428,0.9080797686449709,0.02016187453354337,16,10,0.004957291874897079,1340,215,0.0018299489078288406,1.5304839769063543e-08,0.8789394545687991,0.8373037256547425,0.8364852576388003,0.8381541505973281,0.9508397822519682,COMPLETE
448,0.8341957187625765,2026-06-01 23:34:09.431567,2026-06-01 23:34:48.920086,0 days 00:00:39.488519,0.8803721867018282,0.9045522954936909,0.020323864327185873,16,70,0.010830779756776952,1340,223,0.0015228454643310325,2.0985159928268976e-08,0.8760753492133815,0.8341957187625765,0.8297120433364477,0.8387490345949483,0.9495029675344452,COMPLETE
449,0.8362995396963425,2026-06-01 23:34:48.929577,2026-06-01 23:35:22.494008,0 days 00:00:33.564431,0.8769489131899305,0.9155531284087439,0.01975366541209443,16,10,0.005110146978631925,1340,215,0.0019004971472129032,4.3557084694674985e-08,0.8781707759228801,0.8362995396963425,0.8353596838512002,0.8372759331308263,0.9507099867452665,COMPLETE
450,0.8380212460461798,2026-06-01 23:35:22.513134,2026-06-01 23:35:54.696273,0 days 00:00:32.183139,0.8888618882612643,0.9207646424502225,0.02029008807171906,16,10,0.007481765076067028,1300,215,0.0008548487191762744,2.9318926123589468e-08,0.8794238249263312,0.8380212460461798,0.8368475468145569,0.8392306940284896,0.9507609852125816,COMPLETE
451,0.8362757083993521,2026-06-01 23:35:54.710789,2026-06-01 23:36:27.835442,0 days 00:00:33.124653,0.8715580146064015,0.9226973104121701,0.020366271637010557,16,10,0.009046200854807913,1320,215,0.0009838476923951136,3.1561241360491976e-08,0.8781391860021849,0.8362757083993521,0.8352290173421831,0.8373609454502454,0.9506268462213484,COMPLETE
452,0.8370672502572233,2026-06-01 23:36:27.844042,2026-06-01 23:37:02.505917,0 days 00:00:34.661875,0.8798281126144717,0.9205469291762981,0.02000639616213166,16,10,0.003549384978913317,1360,223,0.0007780824380162329,4.643040322247186e-08,0.8788657382122477,0.8370672502572233,0.8369486613853659,0.8372192823272032,0.950864684945849,COMPLETE
453,0.8376015703205484,2026-06-01 23:37:02.515139,2026-06-01 23:37:36.087137,0 days 00:00:33.571998,0.890620970223459,0.9068058306824238,0.019210766559249273,16,10,0.006823753010474027,1320,223,0.0032907463396476856,1.4668207962884649e-08,0.879055279399537,0.8376015703205484,0.8360451446313627,0.839202375849475,0.9508328164146396,COMPLETE
454,0.837902237483692,2026-06-01 23:37:36.096277,2026-06-01 23:38:10.151132,0 days 00:00:34.054855,0.8860567561436874,0.9179380470383574,0.020542620160922224,16,10,0.0075102523100231125,1340,223,0.0035603657840736678,1.009912719276112e-08,0.8794659320700234,0.837902237483692,0.837693238072152,0.8381541433745311,0.9508512824235567,COMPLETE
