number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
542,0.8443270828216353,2026-06-03 13:05:43.251049,2026-06-03 13:06:38.284543,0 days 00:00:55.033494,balanced,0.8093659730617541,0.015534083529343719,16,10,0.021582373870877684,1900,240,5.868987932103922e-08,3.508069859951702e-08,0.8717117387901269,0.8841637262954775,0.8443270828216353,0.8427679777301602,0.8459034029783138,0.9539269405433096,COMPLETE
543,0.8444025582164004,2026-06-03 13:06:38.293557,2026-06-03 13:07:35.726750,0 days 00:00:57.433193,balanced,0.7927036709602513,0.016962639516159186,16,10,0.0001354937038926707,1900,256,2.865631894607766e-08,1.0628132820125754e-07,0.8877338716960531,0.8846158069669016,0.8444025582164004,0.8457551047677122,0.8430723062114263,0.9541695634179272,COMPLETE
544,0.8442014637320202,2026-06-03 13:07:35.736582,2026-06-03 13:08:31.460632,0 days 00:00:55.724050,balanced,0.8179880202369848,0.01513834719843724,16,10,0.02147451682790585,1900,248,4.5751315633044e-08,1.7906001636713176e-07,0.8969282008353283,0.8841532219913573,0.8442014637320202,0.8432473024606244,0.8451673178189231,0.9538951407870164,COMPLETE
545,0.8444866130167462,2026-06-03 13:08:31.470683,2026-06-03 13:09:25.460332,0 days 00:00:53.989649,balanced,0.810812598906361,0.01574359469775769,16,10,0.030099623370200255,1900,240,1.9698287765840072e-08,6.0364440881949e-08,0.9039790818730579,0.8843004079239964,0.8444866130167462,0.8430619554245173,0.8459317139459827,0.9538439404235435,COMPLETE
546,0.8389783882078605,2026-06-03 13:09:25.469407,2026-06-03 13:09:43.449467,0 days 00:00:17.980060,balanced,0.8054055387360786,0.016773693967798955,16,10,0.019432662213247853,600,240,4.396898512317534e-08,3.7629406521881245e-07,0.8826828114559548,0.8777505753948285,0.8389783882078605,0.8211362940275492,0.857624143593228,0.9513634456917023,COMPLETE
547,0.8301533850336692,2026-06-03 13:09:43.458073,2026-06-03 13:10:09.429552,0 days 00:00:25.971479,balanced,0.7928948567797636,0.014957625828175803,16,120,0.7339409444711964,1900,248,2.6612054749235034e-08,9.930558513060042e-08,0.8920223950563168,0.8698445306950453,0.8301533850336692,0.8053740750525248,0.8565200158541418,0.9475391874308219,COMPLETE
548,0.843862535901264,2026-06-03 13:10:09.439271,2026-06-03 13:11:04.092770,0 days 00:00:54.653499,balanced,0.8273678893893117,0.01583768019743981,16,10,0.018859689879544193,1900,240,6.936977577989535e-08,2.5998354473383665e-07,0.9000901310727891,0.8837852506936338,0.843862535901264,0.8420724778599823,0.8456769152369628,0.9539434925045788,COMPLETE
549,0.8424433056075252,2026-06-03 13:11:04.102422,2026-06-03 13:11:47.753907,0 days 00:00:43.651485,balanced,0.7969930308034657,0.016733433391077863,16,10,0.2984195241904229,1900,240,6.998118156873185e-08,2.919514436513268e-08,0.8582756003423815,0.882050547999346,0.8424433056075252,0.8358679176660057,0.8491308532925655,0.9527983049044941,COMPLETE
550,0.8331384858183636,2026-06-03 13:11:47.764188,2026-06-03 13:12:33.217048,0 days 00:00:45.452860,,0.8141207110105984,0.014714352415190687,16,170,0.0006329714760828255,1900,248,3.856128580064532e-08,5.8446441706862525e-08,0.8781008630848388,0.8798111930420083,0.8331384858183636,0.8599384407751464,0.8079950172696903,0.9502759216962754,COMPLETE
551,0.8431234059662946,2026-06-03 13:12:33.234992,2026-06-03 13:13:28.486954,0 days 00:00:55.251962,balanced,0.8030931892536292,0.015736096332645614,16,10,0.0344537512581802,1900,248,1.6321855384285477e-08,4.339319294963265e-07,0.9086745968086627,0.8833752263670408,0.8431234059662946,0.842335290248014,0.8439216352414926,0.9539005495617281,COMPLETE
552,0.8449721276666103,2026-06-03 13:13:28.496926,2026-06-03 13:14:22.590737,0 days 00:00:54.093811,balanced,0.7882187300526716,0.014872535002611901,16,10,0.03290414553365617,1900,240,2.6331738580119276e-08,1.5304629263931747e-07,0.8946120248570192,0.8845106750579204,0.8449721276666103,0.8424585192537867,0.8475171281354396,0.9538684966956451,COMPLETE
553,0.8444748198882109,2026-06-03 13:14:22.600633,2026-06-03 13:15:20.185244,0 days 00:00:57.584611,balanced,0.7897507319761098,0.014777117176122987,16,10,0.03413031287815057,1900,240,2.671372833772022e-08,1.5376586763957536e-07,0.8927702974928968,0.8841216842092824,0.8444748198882109,0.8418339917941392,0.8471490855557443,0.9539345158385851,COMPLETE
554,0.8405599525689428,2026-06-03 13:15:20.194865,2026-06-03 13:15:53.835406,0 days 00:00:33.640541,balanced,0.7963278535791117,0.014848894013567576,16,10,0.5118403846040604,1900,256,1.054606643120725e-08,9.816353735617785e-08,0.8849740940298965,0.8794642671597024,0.8405599525689428,0.8260600647844285,0.8555857539210691,0.9517759438757719,COMPLETE
555,0.844785379446631,2026-06-03 13:15:53.845512,2026-06-03 13:16:48.870940,0 days 00:00:55.025428,balanced,0.7845218438675824,0.015472019134301181,16,10,0.00024239781907207315,1900,240,4.9313449001972376e-08,2.1242121203690668e-07,0.8984288020457706,0.8845316985879895,0.844785379446631,0.843434687700619,0.8461582016873336,0.9542087325869968,COMPLETE
556,0.8439845755271483,2026-06-03 13:16:48.880822,2026-06-03 13:17:42.012910,0 days 00:00:53.132088,balanced,0.8085644366667298,0.014711934564535668,16,10,0.03600410839334229,1900,232,2.0650021357599724e-08,1.3557597111952834e-07,0.8707266705059848,0.8837011426463178,0.8439845755271483,0.8409408344895045,0.8470641526527376,0.9537693496673958,COMPLETE
557,0.8431074872790782,2026-06-03 13:17:42.022832,2026-06-03 13:18:39.297652,0 days 00:00:57.274820,balanced,0.7893443876999334,0.016275024632440658,16,20,0.019233752254442925,1900,248,4.0085343698345927e-08,5.7514173786425484e-08,0.9085758282183709,0.8832280384448246,0.8431074872790782,0.841348098794429,0.8448842081422342,0.9535223248022243,COMPLETE
558,0.8445177971183857,2026-06-03 13:18:39.307820,2026-06-03 13:19:33.144407,0 days 00:00:53.836587,balanced,0.7812868407896582,0.014260803895944169,16,10,0.0004234715814955218,1900,232,7.524524957276842e-08,5.078434249769139e-07,0.8895037923291721,0.8840480844452409,0.8445177971183857,0.8411106702499099,0.8479701036181416,0.9540542928159809,COMPLETE
559,0.8426001994765663,2026-06-03 13:19:33.153732,2026-06-03 13:20:19.786301,0 days 00:00:46.632569,balanced,0.8008798749431316,0.01755652615824932,16,10,0.2129236375871953,1900,240,2.759905516396491e-08,7.252074419789745e-08,0.8992011900154712,0.8825026223704425,0.8426001994765663,0.8383650655072379,0.8468942868467244,0.9529983292821567,COMPLETE
560,0.8443472298463196,2026-06-03 13:20:19.796232,2026-06-03 13:21:15.151183,0 days 00:00:55.354951,balanced,0.8220914691742691,0.015326622370328547,16,10,0.03701034288039766,1900,248,1.7491793654495323e-08,2.8687858794711116e-07,0.9032062478073363,0.8841847607682207,0.8443472298463196,0.8428348430094975,0.8458750920106449,0.9539261217598295,COMPLETE
