model,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,reg_alpha,reg_lambda,accuracy,precision,recall,f1,roc_auc,model_path
native_lgbm_157,220,0.06,63,8,50,0.75,0.75,1,0.0,0.0,0.8560417807353746,0.7864180527598262,0.8411331444759207,0.8128558913710031,0.9375005953224178,models\overfitting_experiment_binary_native\native_lgbm_157.joblib
native_lgbm_178,220,0.06,63,8,100,0.9,0.9,1,0.0,0.0,0.8557890746746409,0.7851937902629633,0.8424929178470255,0.812834809227069,0.9371631813878095,models\overfitting_experiment_binary_native\native_lgbm_178.joblib
native_lgbm_282,220,0.06,127,8,100,0.75,0.9,1,0.0,2.0,0.8562523691193193,0.7876275510204082,0.8396600566572238,0.8128119344046509,0.9374355067380624,models\overfitting_experiment_binary_native\native_lgbm_282.joblib
native_lgbm_160,220,0.06,63,8,50,0.75,0.9,1,0.0,0.0,0.8558733100282189,0.7857822913360838,0.841699716713881,0.8127803917277602,0.9371030566720356,models\overfitting_experiment_binary_native\native_lgbm_160.joblib
native_lgbm_278,220,0.06,127,8,100,0.75,0.75,1,0.0,0.5,0.8559996630585857,0.786456125476897,0.8409065155807366,0.8127703849734407,0.9379012216737619,models\overfitting_experiment_binary_native\native_lgbm_278.joblib
native_lgbm_172,220,0.06,63,8,100,0.75,0.9,1,0.0,0.0,0.8559575453817967,0.7866765673066723,0.8403399433427762,0.8126232741617357,0.9369567725663277,models\overfitting_experiment_binary_native\native_lgbm_172.joblib
native_lgbm_148,220,0.06,63,8,20,0.75,0.9,1,0.0,0.0,0.8559996630585857,0.7870645709430756,0.8397733711048159,0.8125651005975549,0.9371231324251517,models\overfitting_experiment_binary_native\native_lgbm_148.joblib
native_lgbm_287,220,0.06,127,8,100,0.9,0.9,1,0.0,0.5,0.8560417807353746,0.7873923673859892,0.8393201133144476,0.8125274243089075,0.9378115378231975,models\overfitting_experiment_binary_native\native_lgbm_287.joblib
native_lgbm_270,220,0.06,127,8,50,0.75,0.9,1,0.0,2.0,0.8559154277050078,0.7869583687340697,0.8396600566572238,0.8124554574858834,0.9376759828136969,models\overfitting_experiment_binary_native\native_lgbm_270.joblib
native_lgbm_170,220,0.06,63,8,100,0.75,0.75,1,0.0,0.5,0.8555784862906962,0.7856235443574,0.8409065155807366,0.8123255432105523,0.9372066940445349,models\overfitting_experiment_binary_native\native_lgbm_170.joblib
native_lgbm_162,220,0.06,63,8,50,0.75,0.9,1,0.0,2.0,0.8556206039674852,0.7858883356287742,0.8405665722379604,0.8123083661848445,0.9365909008908757,models\overfitting_experiment_binary_native\native_lgbm_162.joblib
native_lgbm_285,220,0.06,127,8,100,0.9,0.75,1,0.0,2.0,0.8558733100282189,0.7872408293460925,0.8389801699716714,0.8122874382885353,0.9377020706585995,models\overfitting_experiment_binary_native\native_lgbm_285.joblib
native_lgbm_279,220,0.06,127,8,100,0.75,0.75,1,0.0,2.0,0.8555363686139072,0.7855403831904308,0.8409065155807366,0.8122810858143608,0.937500150966929,models\overfitting_experiment_binary_native\native_lgbm_279.joblib
native_lgbm_169,220,0.06,63,8,100,0.75,0.75,1,0.0,0.0,0.8557890746746409,0.7868295273499735,0.8394334277620397,0.8122807017543859,0.9374220507423584,models\overfitting_experiment_binary_native\native_lgbm_169.joblib
native_lgbm_167,220,0.06,63,8,50,0.9,0.9,1,0.0,0.5,0.8553257802299625,0.7845828933474129,0.8419263456090652,0.8122437824542225,0.9372363595208102,models\overfitting_experiment_binary_native\native_lgbm_167.joblib
native_lgbm_286,220,0.06,127,8,100,0.9,0.9,1,0.0,0.0,0.8554100155835405,0.7851099830795262,0.8412464589235128,0.8122093977353536,0.9379917638520229,models\overfitting_experiment_binary_native\native_lgbm_286.joblib
native_lgbm_146,220,0.06,63,8,20,0.75,0.75,1,0.0,0.5,0.8554100155835405,0.7853513971210838,0.8407932011331445,0.8121271821813605,0.9374377095259563,models\overfitting_experiment_binary_native\native_lgbm_146.joblib
native_lgbm_166,220,0.06,63,8,50,0.9,0.9,1,0.0,0.0,0.8554521332603293,0.7857975622681505,0.8401133144475921,0.8120481927710843,0.937076870081469,models\overfitting_experiment_binary_native\native_lgbm_166.joblib
native_lgbm_161,220,0.06,63,8,50,0.75,0.9,1,0.0,0.5,0.8554942509371183,0.7860627916843445,0.8397733711048159,0.8120308990302963,0.9366875539065874,models\overfitting_experiment_binary_native\native_lgbm_161.joblib
native_lgbm_145,220,0.06,63,8,20,0.75,0.75,1,0.0,0.0,0.8555784862906962,0.7865944338219673,0.8390934844192635,0.8119962717254235,0.9375490414644437,models\overfitting_experiment_binary_native\native_lgbm_145.joblib
native_lgbm_154,220,0.06,63,8,20,0.9,0.9,1,0.0,0.0,0.8551573095228068,0.7845519864750634,0.8413597733711048,0.8119634753130297,0.9371615179031586,models\overfitting_experiment_binary_native\native_lgbm_154.joblib
native_lgbm_171,220,0.06,63,8,100,0.75,0.75,1,0.0,2.0,0.8553257802299625,0.7856688573245707,0.839886685552408,0.8118735965825072,0.9368319352593042,models\overfitting_experiment_binary_native\native_lgbm_171.joblib
native_lgbm_288,220,0.06,127,8,100,0.9,0.9,1,0.0,2.0,0.8554100155835405,0.7862603525164579,0.8390934844192635,0.811818231650496,0.9373982568351937,models\overfitting_experiment_binary_native\native_lgbm_288.joblib
native_lgbm_151,220,0.06,63,8,20,0.9,0.75,1,0.0,0.0,0.8552836625531736,0.7859492730552903,0.8392067988668556,0.8117053923717668,0.937425860046251,models\overfitting_experiment_binary_native\native_lgbm_151.joblib
native_lgbm_174,220,0.06,63,8,100,0.75,0.9,1,0.0,2.0,0.8552836625531736,0.7861314643729426,0.8388668555240794,0.8116434601469137,0.9362724119426045,models\overfitting_experiment_binary_native\native_lgbm_174.joblib
native_lgbm_168,220,0.06,63,8,50,0.9,0.9,1,0.0,2.0,0.8547361327549172,0.7836041358936484,0.841586402266289,0.8115609462929574,0.9365720708522929,models\overfitting_experiment_binary_native\native_lgbm_168.joblib
native_lgbm_165,220,0.06,63,8,50,0.9,0.75,1,0.0,2.0,0.8549888388156509,0.7848824899428329,0.8401133144475921,0.8115593016255268,0.936986654523482,models\overfitting_experiment_binary_native\native_lgbm_165.joblib
native_lgbm_156,220,0.06,63,8,20,0.9,0.9,1,0.0,2.0,0.8551151918460178,0.7857976860205923,0.8388668555240794,0.8114655266907815,0.936529374746252,models\overfitting_experiment_binary_native\native_lgbm_156.joblib
native_lgbm_155,220,0.06,63,8,20,0.9,0.9,1,0.0,0.5,0.8549467211388619,0.7851011974144325,0.8395467422096318,0.8114116745153871,0.9368257750490215,models\overfitting_experiment_binary_native\native_lgbm_155.joblib
native_lgbm_152,220,0.06,63,8,20,0.9,0.75,1,0.0,0.5,0.8547782504317062,0.7845274632236215,0.84,0.8113166247127066,0.9374659659775613,models\overfitting_experiment_binary_native\native_lgbm_152.joblib
native_lgbm_176,220,0.06,63,8,100,0.9,0.75,1,0.0,0.5,0.8545676620477615,0.7835127717964957,0.8411331444759207,0.8113011639980326,0.9368155966497874,models\overfitting_experiment_binary_native\native_lgbm_176.joblib
native_lgbm_177,220,0.06,63,8,100,0.9,0.75,1,0.0,2.0,0.8547361327549172,0.7843842573000424,0.8401133144475921,0.8112928817639656,0.9363128938670207,models\overfitting_experiment_binary_native\native_lgbm_177.joblib
native_lgbm_164,220,0.06,63,8,50,0.9,0.75,1,0.0,0.5,0.8547361327549172,0.7845046570702794,0.839886685552408,0.8112515733596016,0.9371497291900159,models\overfitting_experiment_binary_native\native_lgbm_164.joblib
native_lgbm_173,220,0.06,63,8,100,0.75,0.9,1,0.0,0.5,0.8546940150781283,0.7843614432335203,0.84,0.8112278397898883,0.9364308189775494,models\overfitting_experiment_binary_native\native_lgbm_173.joblib
native_lgbm_147,220,0.06,63,8,20,0.75,0.75,1,0.0,2.0,0.8549467211388619,0.7857673924588423,0.8383002832861189,0.8111842105263158,0.9369057362495714,models\overfitting_experiment_binary_native\native_lgbm_147.joblib
native_lgbm_158,220,0.06,63,8,50,0.75,0.75,1,0.0,0.5,0.8549467211388619,0.7858281100605545,0.838186968838527,0.8111635047702599,0.9371479821513414,models\overfitting_experiment_binary_native\native_lgbm_158.joblib
native_lgbm_273,220,0.06,127,8,50,0.9,0.75,1,0.0,2.0,0.8549888388156509,0.7861548277328796,0.8377337110481586,0.8111251302869055,0.9379155701783537,models\overfitting_experiment_binary_native\native_lgbm_273.joblib
native_lgbm_150,220,0.06,63,8,20,0.75,0.9,1,0.0,2.0,0.8547782504317062,0.7851309788948987,0.8388668555240794,0.811109893721924,0.936574702804035,models\overfitting_experiment_binary_native\native_lgbm_150.joblib
native_lgbm_149,220,0.06,63,8,20,0.75,0.9,1,0.0,0.5,0.8547782504317062,0.7852519893899205,0.8386402266288951,0.811068493150685,0.9368419161672099,models\overfitting_experiment_binary_native\native_lgbm_149.joblib
native_lgbm_159,220,0.06,63,8,50,0.75,0.75,1,0.0,2.0,0.8546097797245504,0.7852819369225869,0.8379603399433427,0.8107663633373534,0.9367543173693245,models\overfitting_experiment_binary_native\native_lgbm_159.joblib
native_lgbm_179,220,0.06,63,8,100,0.9,0.9,1,0.0,0.5,0.8543991913406056,0.7842618089387842,0.8390934844192635,0.8107516286199157,0.9368433289897902,models\overfitting_experiment_binary_native\native_lgbm_179.joblib
native_lgbm_180,220,0.06,63,8,100,0.9,0.9,1,0.0,2.0,0.8538516615423494,0.7828245484313933,0.8397733711048159,0.810299584517822,0.9361724851283332,models\overfitting_experiment_binary_native\native_lgbm_180.joblib
native_lgbm_153,220,0.06,63,8,20,0.9,0.75,1,0.0,2.0,0.8540622499262941,0.7842596521001273,0.8378470254957507,0.8101681915301594,0.9369937034447424,models\overfitting_experiment_binary_native\native_lgbm_153.joblib
native_lgbm_095,220,0.06,31,12,50,0.9,0.9,1,0.0,0.5,0.8521248367940024,0.7814022452870155,0.8360339943342776,0.8077954781847047,0.9348564219052823,models\overfitting_experiment_binary_native\native_lgbm_095.joblib
